Icon licenses
=============


GNU General Public License 2 (GPLv2)
    https://www.gnu.org/licenses/gpl-2.0.html

GNU Lesser General Public License 2.1 (LGPL-2.1)
    https://www.gnu.org/licenses/lgpl-2.1.html

Public Domain (PD)
    https://en.wikipedia.org/wiki/Public_domain

Creative Commons Attribution-Share Alike 3.0 Unported (CC-BY-SA 3.0)
    https://creativecommons.org/licenses/by-sa/3.0/


File Name                     | Source                        | License
------------------------------+-------------------------------+---------------------
audio-card-3.svg              | oxygen                        | CC-BY-SA 3.0 or LGPL
application-exit-4.svg        | oxygen                        | CC-BY-SA 3.0 or LGPL
appointment-soon.svg          | gnome                         | GPLv2
counter.png                   | edit-4.svg                    | LGPL-2.1
dialog-warning-4.svg          | oxygen                        | CC-BY-SA 3.0 or LGPL
document-close-4.svg          | oxygen                        | CC-BY-SA 3.0 or LGPL
document-edit.svg             | oxygen                        | CC-BY-SA 3.0 or LGPL
document-export-4.svg         | oxygen                        | CC-BY-SA 3.0 or LGPL
document-import-2.svg         | oxygen                        | CC-BY-SA 3.0 or LGPL
document-new-3.svg            | gnome                         | GPLv2
document-new-6.svg            | oxygen                        | CC-BY-SA 3.0 or LGPL
document-open-5.svg           | tango                         | PD
document-save-all.svg         | oxygen                        | CC-BY-SA 3.0 or LGPL
download.png                  | network-server.svg and        | CC-BY-SA 3.0 or LGPL
                              | go-down-7.svg                 |
download-one.png              | network-server.svg and        | CC-BY-SA 3.0 or LGPL
                              | go-down-7.svg and             |
                              | x-kde-nsplugin-generated.svg  |
edit-4.svg                    | nuvola                        | LGPL-2.1
edit-copy-4.svg               | tango                         | PD
edit-cut-4.svg                | tango                         | PD
edit-find-4.svg               | tango                         | PD
edit-find-replace-4.svg       | tango                         | PD
edit-paste-4.svg              | tango                         | PD
edit-redo-4.svg               | tango                         | PD
edit-undo-4.svg               | tango                         | PD
emblem-package-2.svg          | gnome                         | GPLv2
feed-subscribe.svg            | oxygen                        | CC-BY-SA 3.0 or LGPL
fup.{odg,png}                 | Michael Buesch                | CC-BY-SA 3.0 or LGPL
go-down-7.svg                 | oxygen                        | CC-BY-SA 3.0 or LGPL
go-next-7.svg                 | oxygen                        | CC-BY-SA 3.0 or LGPL
go-previous-7.svg             | oxygen                        | CC-BY-SA 3.0 or LGPL
inputs.png                    | network-server.svg and        | CC-BY-SA 3.0 or LGPL
                              | go-next-7.svg                 |
internet-web-browser-4.svg    | tango                         | PD
kop.{odg,png}                 | Michael Buesch                | CC-BY-SA 3.0 or LGPL
lcd.png                       | awlsim                        | PD
stdlib-package.png            | emblem-package-2.svg          | GPLv2
media-playback-start-4.svg    | gnome                         | GPLv2
media-playback-stop-4.svg     | gnome                         | GPLv2
memory_bits.png               | view-calendar-workweek-2.svg  | CC-BY-SA 3.0 or LGPL
network-server.svg            | oxygen                        | CC-BY-SA 3.0 or LGPL
network-wired-4.svg           | oxygen                        | CC-BY-SA 3.0 or LGPL
outputs.png                   | network-server.svg and        | CC-BY-SA 3.0 or LGPL
                              | go-next-7.svg                 |
pictograms-protections.svg    | open_clip_art_library         | PD
preferences-system-3.svg      | tango                         | PD
server-database.svg           | oxygen                        | CC-BY-SA 3.0 or LGPL
tab-new-background.svg        | oxygen                        | CC-BY-SA 3.0 or LGPL
text-x-source.svg             | tango-harm                    | CC-BY 3.0
view-calendar-workweek-2.svg  | oxygen                        | CC-BY-SA 3.0 or LGPL
x-kde-nsplugin-generated.svg  | oxygen                        | CC-BY-SA 3.0 or LGPL
